,Unnamed: 0,red_cube_start,blue_cube_start,yellow_cube_start,green_cube_start,Text Question,block_for_task,cat,other_blocks,red_cube_goal,blue_cube_goal,yellow_cube_goal,green_cube_goal,observation
69,69,"(-0.3, 0.4, 0.02)","(-0.15, 0.55, 0.02)","(0.0, 0.4, 0.02)","(0.3, 0.25, 0.02)",Take the block that is coloured red and place it between the blocks that are coloured sapphire and coloured mustard,0,2,[1 2],"(0.3, 0.4, 0.02)","(-0.15, 0.55, 0.02)","(0.0, 0.4, 0.02)","(0.3, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.3, 0.4)
Green Cube: (0.3, 0.25)
Blue Cube: (-0.15, 0.55)
Yellow Cube: (0.0, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
71,71,"(0.3, 0.25, 0.02)","(-0.3, 0.55, 0.02)","(-0.15, 0.4, 0.02)","(0.0, 0.4, 0.02)","Take the block that is coloured green and place it between the blocks that are coloured the colour of Mars and (0.15, -0.15) from the blue block",3,2,[0 2],"(0.3, 0.25, 0.02)","(-0.3, 0.55, 0.02)","(-0.15, 0.4, 0.02)","(0.08, 0.32, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.3, 0.25)
Green Cube: (0.0, 0.4)
Blue Cube: (-0.3, 0.55)
Yellow Cube: (-0.15, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
72,72,"(0.3, 0.55, 0.02)","(-0.15, 0.25, 0.02)","(0.3, 0.4, 0.02)","(0.0, 0.55, 0.02)",Take the block that is coloured mustard and place it 0.0 horizontally and -0.15 vertically relative to the block that is coloured green,2,1,3,"(0.3, 0.55, 0.02)","(-0.15, 0.25, 0.02)","(0.0, 0.4, 0.02)","(0.0, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.3, 0.55)
Green Cube: (0.0, 0.55)
Blue Cube: (-0.15, 0.25)
Yellow Cube: (0.3, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
75,75,"(0.0, 0.55, 0.02)","(0.3, 0.4, 0.02)","(0.15, 0.25, 0.02)","(0.3, 0.25, 0.02)",Take the block that is coloured associated with war and place it -0.15 horizontally and 0.15 vertically relative to the block that is coloured lime,0,1,3,"(0.15, 0.4, 0.02)","(0.3, 0.4, 0.02)","(0.15, 0.25, 0.02)","(0.3, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.0, 0.55)
Green Cube: (0.3, 0.25)
Blue Cube: (0.3, 0.4)
Yellow Cube: (0.15, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
79,79,"(0.3, 0.4, 0.02)","(-0.3, 0.4, 0.02)","(-0.3, 0.25, 0.02)","(0.0, 0.55, 0.02)",Take the block that is coloured yellow and place it at [0.15 0.25],2,0,,"(0.3, 0.4, 0.02)","(-0.3, 0.4, 0.02)","(0.15, 0.25, 0.02)","(0.0, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.3, 0.4)
Green Cube: (0.0, 0.55)
Blue Cube: (-0.3, 0.4)
Yellow Cube: (-0.3, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
81,81,"(-0.3, 0.55, 0.02)","(0.3, 0.25, 0.02)","(-0.3, 0.25, 0.02)","(0.15, 0.55, 0.02)","Take the block that is (-0.6, 0.0) from the blue block and place it between the blocks that are coloured frog-coloured and coloured red",2,2,[3 0],"(-0.3, 0.55, 0.02)","(0.3, 0.25, 0.02)","(-0.08, 0.55, 0.02)","(0.15, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.3, 0.55)
Green Cube: (0.15, 0.55)
Blue Cube: (0.3, 0.25)
Yellow Cube: (-0.3, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
85,85,"(0.0, 0.4, 0.02)","(0.15, 0.25, 0.02)","(-0.15, 0.4, 0.02)","(-0.3, 0.25, 0.02)",Take the block that is coloured red and place it between the blocks that are leftmost and coloured blue,0,2,[3 1],"(-0.15, 0.55, 0.02)","(0.15, 0.25, 0.02)","(-0.15, 0.4, 0.02)","(-0.3, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.0, 0.4)
Green Cube: (-0.3, 0.25)
Blue Cube: (0.15, 0.25)
Yellow Cube: (-0.15, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
87,87,"(-0.15, 0.55, 0.02)","(0.15, 0.4, 0.02)","(0.0, 0.25, 0.02)","(0.3, 0.25, 0.02)","Take the block that is (0.3, -0.15) from the red block and place it between the blocks that are coloured blood-coloured and coloured green",1,2,[0 3],"(-0.15, 0.55, 0.02)","(-0.3, 0.4, 0.02)","(0.0, 0.25, 0.02)","(0.3, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.15, 0.55)
Green Cube: (0.3, 0.25)
Blue Cube: (0.15, 0.4)
Yellow Cube: (0.0, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
91,91,"(-0.3, 0.25, 0.02)","(-0.3, 0.55, 0.02)","(-0.15, 0.25, 0.02)","(-0.15, 0.55, 0.02)","Take the block that is (-0.15, -0.3) from the green block and place it between the blocks that are (0.15, -0.3) from the blue block and coloured blue",0,2,[2 1],"(0.15, 0.4, 0.02)","(-0.3, 0.55, 0.02)","(-0.15, 0.25, 0.02)","(-0.15, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.3, 0.25)
Green Cube: (-0.15, 0.55)
Blue Cube: (-0.3, 0.55)
Yellow Cube: (-0.15, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
92,92,"(0.0, 0.55, 0.02)","(-0.15, 0.25, 0.02)","(-0.3, 0.55, 0.02)","(0.3, 0.4, 0.02)",Take the block that is coloured love-coloured and place it at [0.3  0.55],0,0,,"(0.3, 0.55, 0.02)","(-0.15, 0.25, 0.02)","(-0.3, 0.55, 0.02)","(0.3, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.0, 0.55)
Green Cube: (0.3, 0.4)
Blue Cube: (-0.15, 0.25)
Yellow Cube: (-0.3, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
94,94,"(0.15, 0.25, 0.02)","(0.3, 0.4, 0.02)","(0.0, 0.25, 0.02)","(0.0, 0.4, 0.02)",Take the block that is coloured mint and place it at [-0.3  0.4],3,0,,"(0.15, 0.25, 0.02)","(0.3, 0.4, 0.02)","(0.0, 0.25, 0.02)","(-0.3, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.15, 0.25)
Green Cube: (0.0, 0.4)
Blue Cube: (0.3, 0.4)
Yellow Cube: (0.0, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
97,97,"(0.0, 0.4, 0.02)","(-0.3, 0.4, 0.02)","(0.0, 0.55, 0.02)","(0.3, 0.25, 0.02)",Take the block that is coloured the sad one and place it between the blocks that are coloured red and coloured green,1,2,[0 3],"(0.0, 0.4, 0.02)","(0.15, 0.25, 0.02)","(0.0, 0.55, 0.02)","(0.3, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.0, 0.4)
Green Cube: (0.3, 0.25)
Blue Cube: (-0.3, 0.4)
Yellow Cube: (0.0, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
98,98,"(0.3, 0.4, 0.02)","(0.3, 0.25, 0.02)","(0.0, 0.25, 0.02)","(-0.15, 0.4, 0.02)",Take the block that is coloured cobalt and place it -0.15 horizontally and -0.15 vertically relative to the block that is leftmost,1,1,3,"(0.3, 0.4, 0.02)","(-0.3, 0.25, 0.02)","(0.0, 0.25, 0.02)","(-0.15, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.3, 0.4)
Green Cube: (-0.15, 0.4)
Blue Cube: (0.3, 0.25)
Yellow Cube: (0.0, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
99,99,"(0.0, 0.25, 0.02)","(-0.15, 0.4, 0.02)","(-0.3, 0.55, 0.02)","(-0.3, 0.25, 0.02)",Take the block that is coloured green and place it between the blocks that are coloured blue and rightmost,3,2,[1 0],"(0.0, 0.25, 0.02)","(-0.15, 0.4, 0.02)","(-0.3, 0.55, 0.02)","(-0.15, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.0, 0.25)
Green Cube: (-0.3, 0.25)
Blue Cube: (-0.15, 0.4)
Yellow Cube: (-0.3, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
100,100,"(-0.3, 0.55, 0.02)","(0.15, 0.25, 0.02)","(0.0, 0.55, 0.02)","(0.3, 0.25, 0.02)",Take the block that is coloured ocean ball and place it 0.45 horizontally and 0.0 vertically relative to the block that is leftmost,1,1,0,"(-0.3, 0.55, 0.02)","(0.15, 0.55, 0.02)","(0.0, 0.55, 0.02)","(0.3, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.3, 0.55)
Green Cube: (0.3, 0.25)
Blue Cube: (0.15, 0.25)
Yellow Cube: (0.0, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
103,103,"(-0.15, 0.4, 0.02)","(-0.15, 0.55, 0.02)","(0.3, 0.55, 0.02)","(-0.15, 0.25, 0.02)",Take the block that is coloured green and place it 0.3 horizontally and -0.15 vertically relative to the block that is coloured red,3,1,0,"(-0.15, 0.4, 0.02)","(-0.15, 0.55, 0.02)","(0.3, 0.55, 0.02)","(0.15, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.15, 0.4)
Green Cube: (-0.15, 0.25)
Blue Cube: (-0.15, 0.55)
Yellow Cube: (0.3, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
104,104,"(-0.3, 0.4, 0.02)","(0.15, 0.4, 0.02)","(0.3, 0.55, 0.02)","(-0.15, 0.4, 0.02)","Take the block that is coloured yellow and place it 0.0 horizontally and 0.15 vertically relative to the block that is (0.3, 0.0) from the green block",2,1,1,"(-0.3, 0.4, 0.02)","(0.15, 0.4, 0.02)","(0.15, 0.55, 0.02)","(-0.15, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.3, 0.4)
Green Cube: (-0.15, 0.4)
Blue Cube: (0.15, 0.4)
Yellow Cube: (0.3, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
105,105,"(-0.3, 0.25, 0.02)","(0.15, 0.4, 0.02)","(0.3, 0.25, 0.02)","(0.0, 0.4, 0.02)",Take the block that is coloured blue and place it at [-0.15  0.55],1,0,,"(-0.3, 0.25, 0.02)","(-0.15, 0.55, 0.02)","(0.3, 0.25, 0.02)","(0.0, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.3, 0.25)
Green Cube: (0.0, 0.4)
Blue Cube: (0.15, 0.4)
Yellow Cube: (0.3, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
107,107,"(-0.3, 0.25, 0.02)","(0.0, 0.25, 0.02)","(0.15, 0.55, 0.02)","(-0.15, 0.4, 0.02)",Take the block that is leftmost and place it 0.45 horizontally and -0.15 vertically relative to the block that is coloured the eco-friendly one,0,1,3,"(0.3, 0.25, 0.02)","(0.0, 0.25, 0.02)","(0.15, 0.55, 0.02)","(-0.15, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.3, 0.25)
Green Cube: (-0.15, 0.4)
Blue Cube: (0.0, 0.25)
Yellow Cube: (0.15, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
109,109,"(0.3, 0.25, 0.02)","(-0.15, 0.4, 0.02)","(-0.15, 0.55, 0.02)","(0.15, 0.25, 0.02)",Take the block that is rightmost and place it at [0.15 0.4 ],0,0,,"(0.15, 0.4, 0.02)","(-0.15, 0.4, 0.02)","(-0.15, 0.55, 0.02)","(0.15, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.3, 0.25)
Green Cube: (0.15, 0.25)
Blue Cube: (-0.15, 0.4)
Yellow Cube: (-0.15, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
110,110,"(0.15, 0.55, 0.02)","(0.0, 0.4, 0.02)","(-0.15, 0.25, 0.02)","(0.3, 0.4, 0.02)",Take the block that is coloured the color of money and place it between the blocks that are highest and leftmost,3,2,[0 2],"(0.15, 0.55, 0.02)","(0.0, 0.4, 0.02)","(-0.15, 0.25, 0.02)","(0.3, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.15, 0.55)
Green Cube: (0.3, 0.4)
Blue Cube: (0.0, 0.4)
Yellow Cube: (-0.15, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
111,111,"(0.0, 0.25, 0.02)","(0.15, 0.4, 0.02)","(-0.3, 0.55, 0.02)","(-0.15, 0.25, 0.02)","Take the block that is (-0.3, -0.15) from the blue block and place it at [0.3 0.4]",3,0,,"(0.0, 0.25, 0.02)","(0.15, 0.4, 0.02)","(-0.3, 0.55, 0.02)","(0.3, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.0, 0.25)
Green Cube: (-0.15, 0.25)
Blue Cube: (0.15, 0.4)
Yellow Cube: (-0.3, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
114,114,"(-0.3, 0.4, 0.02)","(0.3, 0.55, 0.02)","(0.15, 0.4, 0.02)","(-0.15, 0.25, 0.02)",Take the block that is coloured screams danger and place it at [-0.3   0.25],0,0,,"(-0.3, 0.25, 0.02)","(0.3, 0.55, 0.02)","(0.15, 0.4, 0.02)","(-0.15, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.3, 0.4)
Green Cube: (-0.15, 0.25)
Blue Cube: (0.3, 0.55)
Yellow Cube: (0.15, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
119,119,"(0.0, 0.25, 0.02)","(0.15, 0.4, 0.02)","(-0.15, 0.25, 0.02)","(0.0, 0.4, 0.02)",Take the block that is coloured mustard and place it -0.3 horizontally and 0.0 vertically relative to the block that is coloured matches stop signs,2,1,0,"(0.0, 0.25, 0.02)","(0.15, 0.4, 0.02)","(-0.3, 0.25, 0.02)","(0.0, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.0, 0.25)
Green Cube: (0.0, 0.4)
Blue Cube: (0.15, 0.4)
Yellow Cube: (-0.15, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
120,120,"(0.15, 0.4, 0.02)","(0.15, 0.55, 0.02)","(-0.15, 0.4, 0.02)","(-0.3, 0.4, 0.02)",Take the block that is coloured green and place it 0.15 horizontally and -0.15 vertically relative to the block that is highest,3,1,1,"(0.15, 0.4, 0.02)","(0.15, 0.55, 0.02)","(-0.15, 0.4, 0.02)","(0.3, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.15, 0.4)
Green Cube: (-0.3, 0.4)
Blue Cube: (0.15, 0.55)
Yellow Cube: (-0.15, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
124,124,"(0.3, 0.55, 0.02)","(0.0, 0.55, 0.02)","(0.15, 0.25, 0.02)","(-0.3, 0.55, 0.02)",Take the block that is coloured the police-coloured one and place it at [0.3 0.4],1,0,,"(0.3, 0.55, 0.02)","(0.3, 0.4, 0.02)","(0.15, 0.25, 0.02)","(-0.3, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.3, 0.55)
Green Cube: (-0.3, 0.55)
Blue Cube: (0.0, 0.55)
Yellow Cube: (0.15, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
125,125,"(-0.15, 0.25, 0.02)","(-0.15, 0.4, 0.02)","(-0.3, 0.25, 0.02)","(0.3, 0.55, 0.02)","Take the block that is coloured red and place it between the blocks that are (0.15, 0.15) from the yellow block and coloured green",0,2,[1 3],"(0.08, 0.48, 0.02)","(-0.15, 0.4, 0.02)","(-0.3, 0.25, 0.02)","(0.3, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.15, 0.25)
Green Cube: (0.3, 0.55)
Blue Cube: (-0.15, 0.4)
Yellow Cube: (-0.3, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
126,126,"(0.0, 0.55, 0.02)","(-0.3, 0.4, 0.02)","(0.15, 0.25, 0.02)","(-0.3, 0.55, 0.02)",Take the block that is coloured blue and place it at [-0.3   0.25],1,0,,"(0.0, 0.55, 0.02)","(-0.3, 0.25, 0.02)","(0.15, 0.25, 0.02)","(-0.3, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.0, 0.55)
Green Cube: (-0.3, 0.55)
Blue Cube: (-0.3, 0.4)
Yellow Cube: (0.15, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
129,129,"(-0.3, 0.55, 0.02)","(0.3, 0.25, 0.02)","(0.15, 0.4, 0.02)","(0.0, 0.4, 0.02)",Take the block that is coloured green and place it at [-0.3   0.25],3,0,,"(-0.3, 0.55, 0.02)","(0.3, 0.25, 0.02)","(0.15, 0.4, 0.02)","(-0.3, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.3, 0.55)
Green Cube: (0.0, 0.4)
Blue Cube: (0.3, 0.25)
Yellow Cube: (0.15, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
130,130,"(0.3, 0.25, 0.02)","(-0.15, 0.55, 0.02)","(-0.3, 0.25, 0.02)","(-0.15, 0.25, 0.02)","Take the block that is coloured crimson and place it 0.15 horizontally and 0.15 vertically relative to the block that is (0.0, -0.3) from the blue block",0,1,3,"(0.0, 0.4, 0.02)","(-0.15, 0.55, 0.02)","(-0.3, 0.25, 0.02)","(-0.15, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.3, 0.25)
Green Cube: (-0.15, 0.25)
Blue Cube: (-0.15, 0.55)
Yellow Cube: (-0.3, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
133,133,"(-0.3, 0.25, 0.02)","(-0.3, 0.55, 0.02)","(0.0, 0.4, 0.02)","(0.15, 0.55, 0.02)",Take the block that is coloured like the sun and place it at [0.   0.25],2,0,,"(-0.3, 0.25, 0.02)","(-0.3, 0.55, 0.02)","(0.0, 0.25, 0.02)","(0.15, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.3, 0.25)
Green Cube: (0.15, 0.55)
Blue Cube: (-0.3, 0.55)
Yellow Cube: (0.0, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
135,135,"(0.3, 0.25, 0.02)","(-0.3, 0.25, 0.02)","(-0.15, 0.55, 0.02)","(-0.15, 0.25, 0.02)",Take the block that is leftmost and place it at [0.3 0.4],1,0,,"(0.3, 0.25, 0.02)","(0.3, 0.4, 0.02)","(-0.15, 0.55, 0.02)","(-0.15, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.3, 0.25)
Green Cube: (-0.15, 0.25)
Blue Cube: (-0.3, 0.25)
Yellow Cube: (-0.15, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
138,138,"(0.0, 0.4, 0.02)","(0.3, 0.25, 0.02)","(0.15, 0.4, 0.02)","(0.3, 0.55, 0.02)",Take the block that is highest and place it at [-0.15  0.55],3,0,,"(0.0, 0.4, 0.02)","(0.3, 0.25, 0.02)","(0.15, 0.4, 0.02)","(-0.15, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.0, 0.4)
Green Cube: (0.3, 0.55)
Blue Cube: (0.3, 0.25)
Yellow Cube: (0.15, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
140,140,"(-0.3, 0.25, 0.02)","(0.15, 0.25, 0.02)","(-0.15, 0.4, 0.02)","(0.0, 0.55, 0.02)",Take the block that is coloured blue and place it at [-0.15  0.25],1,0,,"(-0.3, 0.25, 0.02)","(-0.15, 0.25, 0.02)","(-0.15, 0.4, 0.02)","(0.0, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.3, 0.25)
Green Cube: (0.0, 0.55)
Blue Cube: (0.15, 0.25)
Yellow Cube: (-0.15, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
142,142,"(0.15, 0.55, 0.02)","(0.15, 0.25, 0.02)","(-0.3, 0.55, 0.02)","(-0.3, 0.4, 0.02)",Take the block that is coloured green and place it -0.3 horizontally and -0.3 vertically relative to the block that is coloured like a fireball,3,1,0,"(0.15, 0.55, 0.02)","(0.15, 0.25, 0.02)","(-0.3, 0.55, 0.02)","(-0.15, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.15, 0.55)
Green Cube: (-0.3, 0.4)
Blue Cube: (0.15, 0.25)
Yellow Cube: (-0.3, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
143,143,"(-0.15, 0.55, 0.02)","(0.3, 0.55, 0.02)","(0.3, 0.4, 0.02)","(-0.15, 0.4, 0.02)",Take the block that is coloured sunflower-hued and place it at [0.15 0.4 ],2,0,,"(-0.15, 0.55, 0.02)","(0.3, 0.55, 0.02)","(0.15, 0.4, 0.02)","(-0.15, 0.4, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.15, 0.55)
Green Cube: (-0.15, 0.4)
Blue Cube: (0.3, 0.55)
Yellow Cube: (0.3, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
144,144,"(-0.15, 0.25, 0.02)","(-0.3, 0.25, 0.02)","(0.0, 0.4, 0.02)","(0.0, 0.25, 0.02)","Take the block that is (0.15, 0.0) from the blue block and place it 0.0 horizontally and 0.15 vertically relative to the block that is coloured butter-coloured",0,1,2,"(0.0, 0.55, 0.02)","(-0.3, 0.25, 0.02)","(0.0, 0.4, 0.02)","(0.0, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.15, 0.25)
Green Cube: (0.0, 0.25)
Blue Cube: (-0.3, 0.25)
Yellow Cube: (0.0, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
148,148,"(-0.3, 0.4, 0.02)","(-0.15, 0.4, 0.02)","(0.3, 0.25, 0.02)","(0.15, 0.55, 0.02)",Take the block that is coloured yellow and place it at [0.3  0.55],2,0,,"(-0.3, 0.4, 0.02)","(-0.15, 0.4, 0.02)","(0.3, 0.55, 0.02)","(0.15, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (-0.3, 0.4)
Green Cube: (0.15, 0.55)
Blue Cube: (-0.15, 0.4)
Yellow Cube: (0.3, 0.25)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
150,150,"(0.3, 0.25, 0.02)","(0.0, 0.55, 0.02)","(0.15, 0.4, 0.02)","(-0.15, 0.25, 0.02)",Take the block that is coloured mustard and place it -0.45 horizontally and 0.15 vertically relative to the block that is rightmost,2,1,0,"(0.3, 0.25, 0.02)","(0.0, 0.55, 0.02)","(-0.15, 0.4, 0.02)","(-0.15, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.3, 0.25)
Green Cube: (-0.15, 0.25)
Blue Cube: (0.0, 0.55)
Yellow Cube: (0.15, 0.4)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
153,153,"(0.3, 0.25, 0.02)","(0.0, 0.4, 0.02)","(-0.3, 0.55, 0.02)","(0.15, 0.55, 0.02)",Take the block that is coloured navy and place it between the blocks that are coloured frog-coloured and coloured gold,1,2,[3 2],"(0.3, 0.25, 0.02)","(-0.08, 0.55, 0.02)","(-0.3, 0.55, 0.02)","(0.15, 0.55, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.3, 0.25)
Green Cube: (0.15, 0.55)
Blue Cube: (0.0, 0.4)
Yellow Cube: (-0.3, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
154,154,"(0.15, 0.55, 0.02)","(0.3, 0.25, 0.02)","(-0.15, 0.55, 0.02)","(-0.15, 0.25, 0.02)",Take the block that is coloured lime and place it 0.15 horizontally and -0.3 vertically relative to the block that is coloured yellow,3,1,2,"(0.15, 0.55, 0.02)","(0.3, 0.25, 0.02)","(-0.15, 0.55, 0.02)","(0.0, 0.25, 0.02)","*** Observation *** 
Here is the initial position of each block and the end effector: 
Red Cube: (0.15, 0.55)
Green Cube: (-0.15, 0.25)
Blue Cube: (0.3, 0.25)
Yellow Cube: (-0.15, 0.55)
End Effector: (0, 0.25)
Note - the arm itself is at 0,0. Assume that the x-axis determines left and right and the y-axis top and bottom."
